枠名,song_id,歌唱順,配信日,枠URL,コラボ相手様
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0034,3,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=860,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0035,4,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=1724,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0036,5,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=1921,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0037,6,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=2293,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0038,7,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=3192,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0039,8,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=3427,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0040,9,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=3755,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0041,10,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=4064,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0042,11,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=4365,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0043,12,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=6015,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0044,13,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=6280,
【縦型歌枠 /#karaoke 】青を歌う【深影 / RK Music】#ghostreaming #歌枠,S0045,14,2025-06-30,https://www.youtube.com/live/Oh8lyLzLas0?si=-kSy858XoqQe6Hxu&t=6526,
